Customer ID,Age,Age_Group
CUST182,62,Senior
CUST262,32,Adult
CUST271,62,Senior
CUST335,47,Adult
CUST536,55,Adult
CUST598,37,Adult
CUST633,39,Adult
CUST796,43,Adult
CUST931,30,Adult
CUST001,34,Adult
CUST060,30,Adult
CUST200,27,Youth
CUST336,52,Adult
CUST504,38,Adult
CUST554,46,Adult
CUST576,33,Adult
CUST822,52,Adult
CUST910,20,Youth
CUST912,51,Adult
CUST038,38,Adult
CUST061,21,Youth
CUST075,61,Senior
CUST082,32,Adult
CUST251,57,Adult
CUST330,25,Youth
CUST354,49,Adult
CUST433,29,Youth
CUST494,42,Adult
CUST510,39,Adult
CUST584,27,Youth
CUST628,19,Youth
CUST639,62,Senior
CUST723,54,Adult
CUST740,25,Youth
CUST785,31,Adult
CUST817,30,Adult
CUST833,42,Adult
CUST903,51,Adult
CUST936,57,Adult
CUST961,53,Adult
CUST052,36,Adult
CUST079,34,Adult
CUST174,39,Adult
CUST240,23,Youth
CUST358,32,Adult
CUST378,50,Adult
CUST555,25,Youth
CUST794,60,Senior
CUST905,58,Adult
CUST947,50,Adult
CUST021,50,Adult
CUST028,43,Adult
CUST128,25,Youth
CUST220,64,Senior
CUST238,39,Adult
CUST364,19,Youth
CUST408,64,Senior
CUST537,21,Youth
CUST539,25,Youth
CUST541,56,Adult
CUST760,27,Youth
CUST781,35,Adult
CUST934,30,Adult
CUST937,62,Senior
CUST129,21,Youth
CUST131,21,Youth
CUST221,39,Adult
CUST233,51,Adult
CUST290,30,Adult
CUST302,57,Adult
CUST373,25,Youth
CUST508,58,Adult
CUST543,49,Adult
CUST610,26,Youth
CUST976,48,Adult
CUST030,39,Adult
CUST035,58,Adult
CUST036,52,Adult
CUST183,43,Adult
CUST198,54,Adult
CUST295,27,Youth
CUST323,29,Youth
CUST435,30,Adult
CUST457,58,Adult
CUST472,38,Adult
CUST624,34,Adult
CUST708,43,Adult
CUST722,20,Youth
CUST727,55,Adult
CUST788,52,Adult
CUST806,35,Adult
CUST827,61,Senior
CUST923,32,Adult
CUST094,47,Adult
CUST097,51,Adult
CUST104,34,Adult
CUST137,46,Adult
CUST161,64,Senior
CUST237,50,Adult
CUST393,22,Youth
CUST461,18,Youth
CUST589,36,Adult
CUST600,59,Adult
CUST621,40,Adult
CUST660,38,Adult
CUST662,48,Adult
CUST683,38,Adult
CUST816,47,Adult
CUST850,26,Youth
CUST853,21,Youth
CUST880,22,Youth
CUST990,58,Adult
CUST994,51,Adult
CUST067,48,Adult
CUST292,20,Youth
CUST298,27,Youth
CUST308,34,Adult
CUST424,57,Adult
CUST441,57,Adult
CUST524,46,Adult
CUST587,40,Adult
CUST597,22,Youth
CUST614,39,Adult
CUST648,53,Adult
CUST669,24,Youth
CUST682,46,Adult
CUST908,46,Adult
CUST047,40,Adult
CUST144,59,Adult
CUST164,47,Adult
CUST169,18,Youth
CUST193,35,Adult
CUST199,45,Adult
CUST211,42,Adult
CUST213,27,Youth
CUST313,55,Adult
CUST372,24,Youth
CUST463,54,Adult
CUST506,34,Adult
CUST522,46,Adult
CUST611,51,Adult
CUST636,21,Youth
CUST677,19,Youth
CUST693,41,Adult
CUST720,56,Adult
CUST805,30,Adult
CUST843,21,Youth
CUST869,37,Adult
CUST074,18,Youth
CUST093,35,Adult
CUST139,36,Adult
CUST257,19,Youth
CUST281,29,Youth
CUST447,22,Youth
CUST480,42,Adult
CUST503,45,Adult
CUST577,21,Youth
CUST592,46,Adult
CUST743,34,Adult
CUST808,33,Adult
CUST832,47,Adult
CUST044,22,Youth
CUST103,59,Adult
CUST185,24,Youth
CUST205,43,Adult
CUST206,61,Senior
CUST223,64,Senior
CUST236,54,Adult
CUST242,21,Youth
CUST318,61,Senior
CUST362,50,Adult
CUST379,47,Adult
CUST423,27,Youth
CUST558,41,Adult
CUST585,24,Youth
CUST657,40,Adult
CUST658,59,Adult
CUST764,40,Adult
CUST790,62,Senior
CUST877,58,Adult
CUST952,57,Adult
CUST955,58,Adult
CUST116,23,Youth
CUST195,52,Adult
CUST255,48,Adult
CUST438,42,Adult
CUST483,55,Adult
CUST518,40,Adult
CUST566,64,Senior
CUST601,19,Youth
CUST734,27,Youth
CUST753,32,Adult
CUST878,20,Youth
CUST879,23,Youth
CUST995,41,Adult
CUST007,46,Adult
CUST019,62,Senior
CUST041,34,Adult
CUST059,62,Senior
CUST106,46,Adult
CUST127,33,Adult
CUST135,20,Youth
CUST143,45,Adult
CUST151,29,Youth
CUST170,25,Youth
CUST224,25,Youth
CUST226,61,Senior
CUST249,20,Youth
CUST258,37,Adult
CUST261,21,Youth
CUST316,48,Adult
CUST359,50,Adult
CUST375,32,Adult
CUST389,21,Youth
CUST527,57,Adult
CUST545,27,Youth
CUST627,57,Adult
CUST665,57,Adult
CUST730,36,Adult
CUST737,33,Adult
CUST751,42,Adult
CUST763,34,Adult
CUST770,32,Adult
CUST774,40,Adult
CUST798,61,Senior
CUST836,22,Youth
CUST840,62,Senior
CUST849,32,Adult
CUST854,29,Youth
CUST906,20,Youth
CUST941,57,Adult
CUST944,44,Adult
CUST973,60,Senior
CUST996,62,Senior
CUST080,64,Senior
CUST095,32,Adult
CUST148,18,Youth
CUST162,39,Adult
CUST178,40,Adult
CUST315,47,Adult
CUST415,53,Adult
CUST478,58,Adult
CUST528,36,Adult
CUST548,51,Adult
CUST563,20,Youth
CUST675,45,Adult
CUST719,42,Adult
CUST884,26,Youth
CUST900,21,Youth
CUST960,59,Adult
CUST962,44,Adult
CUST145,39,Adult
CUST149,22,Youth
CUST188,40,Adult
CUST326,18,Youth
CUST439,50,Adult
CUST475,26,Youth
CUST607,54,Adult
CUST653,54,Adult
CUST654,42,Adult
CUST750,35,Adult
CUST755,58,Adult
CUST797,40,Adult
CUST815,51,Adult
CUST848,63,Senior
CUST988,63,Senior
CUST126,28,Youth
CUST245,47,Adult
CUST294,23,Youth
CUST351,56,Adult
CUST419,44,Adult
CUST422,28,Youth
CUST444,61,Senior
CUST603,40,Adult
CUST613,52,Adult
CUST646,38,Adult
CUST691,51,Adult
CUST704,62,Senior
CUST746,33,Adult
CUST776,35,Adult
CUST861,41,Adult
CUST898,42,Adult
CUST011,23,Youth
CUST017,27,Youth
CUST022,18,Youth
CUST064,49,Adult
CUST077,47,Adult
CUST125,48,Adult
CUST156,43,Adult
CUST160,43,Adult
CUST187,64,Senior
CUST277,36,Adult
CUST278,37,Adult
CUST287,54,Adult
CUST360,42,Adult
CUST366,57,Adult
CUST381,44,Adult
CUST410,29,Youth
CUST442,60,Senior
CUST498,50,Adult
CUST517,47,Adult
CUST526,33,Adult
CUST575,60,Senior
CUST609,47,Adult
CUST615,61,Senior
CUST616,41,Adult
CUST630,42,Adult
CUST642,54,Adult
CUST661,44,Adult
CUST688,56,Adult
CUST692,64,Senior
CUST736,29,Youth
CUST738,41,Adult
CUST752,29,Youth
CUST758,64,Senior
CUST786,48,Adult
CUST803,39,Adult
CUST887,59,Adult
CUST991,34,Adult
CUST014,64,Senior
CUST023,35,Adult
CUST039,23,Youth
CUST222,51,Adult
CUST288,28,Youth
CUST301,30,Adult
CUST312,41,Adult
CUST314,52,Adult
CUST436,57,Adult
CUST477,43,Adult
CUST497,41,Adult
CUST521,47,Adult
CUST532,64,Senior
CUST578,54,Adult
CUST699,37,Adult
CUST824,63,Senior
CUST876,43,Adult
CUST885,52,Adult
CUST895,55,Adult
CUST034,51,Adult
CUST085,31,Adult
CUST119,60,Senior
CUST163,64,Senior
CUST167,43,Adult
CUST231,23,Youth
CUST471,32,Adult
CUST490,34,Adult
CUST529,35,Adult
CUST538,18,Youth
CUST623,34,Adult
CUST651,51,Adult
CUST724,61,Senior
CUST748,25,Youth
CUST830,64,Senior
CUST844,35,Adult
CUST978,53,Adult
CUST010,52,Adult
CUST138,49,Adult
CUST146,38,Adult
CUST159,26,Youth
CUST186,20,Youth
CUST194,55,Adult
CUST197,42,Adult
CUST259,45,Adult
CUST284,43,Adult
CUST341,31,Adult
CUST377,46,Adult
CUST400,53,Adult
CUST696,50,Adult
CUST765,43,Adult
CUST801,21,Youth
CUST835,37,Adult
CUST860,63,Senior
CUST930,54,Adult
CUST938,49,Adult
CUST965,22,Youth
CUST975,56,Adult
CUST024,49,Adult
CUST043,48,Adult
CUST070,43,Adult
CUST168,53,Adult
CUST365,31,Adult
CUST401,62,Senior
CUST625,31,Adult
CUST674,38,Adult
CUST741,48,Adult
CUST783,56,Adult
CUST826,46,Adult
CUST852,41,Adult
CUST865,42,Adult
CUST983,29,Youth
CUST004,37,Adult
CUST088,56,Adult
CUST130,57,Adult
CUST279,50,Adult
CUST319,31,Adult
CUST337,38,Adult
CUST384,55,Adult
CUST394,27,Youth
CUST570,49,Adult
CUST655,55,Adult
CUST697,53,Adult
CUST707,26,Youth
CUST714,18,Youth
CUST717,57,Adult
CUST721,52,Adult
CUST761,33,Adult
CUST814,59,Adult
CUST845,54,Adult
CUST904,28,Youth
CUST984,56,Adult
CUST096,44,Adult
CUST101,32,Adult
CUST291,60,Senior
CUST392,27,Youth
CUST398,48,Adult
CUST402,41,Adult
CUST403,32,Adult
CUST440,64,Senior
CUST443,29,Youth
CUST496,23,Youth
CUST637,43,Adult
CUST649,58,Adult
CUST702,60,Senior
CUST842,47,Adult
CUST899,26,Youth
CUST020,22,Youth
CUST042,22,Youth
CUST056,26,Youth
CUST110,27,Youth
CUST171,52,Adult
CUST180,41,Adult
CUST196,32,Adult
CUST248,26,Youth
CUST264,47,Adult
CUST265,55,Adult
CUST515,49,Adult
CUST550,40,Adult
CUST567,25,Youth
CUST582,35,Adult
CUST590,36,Adult
CUST680,53,Adult
CUST690,52,Adult
CUST782,59,Adult
CUST950,36,Adult
CUST964,24,Youth
CUST968,48,Adult
CUST969,40,Adult
CUST987,30,Adult
CUST002,26,Youth
CUST203,56,Adult
CUST256,23,Youth
CUST274,23,Youth
CUST275,43,Adult
CUST346,59,Adult
CUST382,53,Adult
CUST453,26,Youth
CUST470,57,Adult
CUST534,45,Adult
CUST684,28,Youth
CUST986,49,Adult
CUST058,18,Youth
CUST107,21,Youth
CUST165,60,Senior
CUST202,34,Adult
CUST296,22,Youth
CUST340,36,Adult
CUST368,56,Adult
CUST405,25,Youth
CUST459,28,Youth
CUST482,28,Youth
CUST484,19,Youth
CUST553,24,Youth
CUST559,40,Adult
CUST663,23,Youth
CUST716,60,Senior
CUST726,47,Adult
CUST729,29,Youth
CUST800,32,Adult
CUST928,35,Adult
CUST943,57,Adult
CUST016,19,Youth
CUST078,47,Adult
CUST112,37,Adult
CUST115,51,Adult
CUST212,21,Youth
CUST215,58,Adult
CUST280,37,Adult
CUST421,37,Adult
CUST452,48,Adult
CUST474,26,Youth
CUST580,31,Adult
CUST647,59,Adult
CUST673,43,Adult
CUST942,51,Adult
CUST956,30,Adult
CUST124,33,Adult
CUST166,34,Adult
CUST253,53,Adult
CUST269,25,Youth
CUST342,43,Adult
CUST420,22,Youth
CUST476,27,Youth
CUST487,44,Adult
CUST547,63,Senior
CUST561,64,Senior
CUST572,31,Adult
CUST595,18,Youth
CUST626,26,Youth
CUST664,44,Adult
CUST731,54,Adult
CUST735,64,Senior
CUST789,61,Senior
CUST201,56,Adult
CUST285,31,Adult
CUST347,42,Adult
CUST388,50,Adult
CUST427,25,Youth
CUST468,40,Adult
CUST486,35,Adult
CUST544,27,Youth
CUST744,40,Adult
CUST787,41,Adult
CUST907,45,Adult
CUST989,44,Adult
CUST003,50,Adult
CUST029,42,Adult
CUST045,55,Adult
CUST066,45,Adult
CUST090,51,Adult
CUST100,41,Adult
CUST140,38,Adult
CUST268,28,Youth
CUST345,62,Senior
CUST451,45,Adult
CUST485,24,Youth
CUST489,44,Adult
CUST579,38,Adult
CUST617,34,Adult
CUST650,55,Adult
CUST659,39,Adult
CUST772,26,Youth
CUST804,42,Adult
CUST894,52,Adult
CUST901,31,Adult
CUST926,22,Youth
CUST940,20,Youth
CUST018,47,Adult
CUST063,57,Adult
CUST081,40,Adult
CUST113,41,Adult
CUST134,49,Adult
CUST141,22,Youth
CUST234,62,Senior
CUST246,48,Adult
CUST250,48,Adult
CUST286,55,Adult
CUST306,54,Adult
CUST307,26,Youth
CUST321,26,Youth
CUST325,52,Adult
CUST339,22,Youth
CUST343,21,Youth
CUST367,57,Adult
CUST429,64,Senior
CUST434,43,Adult
CUST446,21,Youth
CUST556,18,Youth
CUST560,25,Youth
CUST562,54,Adult
CUST571,41,Adult
CUST574,63,Senior
CUST586,50,Adult
CUST606,22,Youth
CUST629,62,Senior
CUST685,57,Adult
CUST694,39,Adult
CUST705,60,Senior
CUST762,24,Youth
CUST771,24,Youth
CUST780,52,Adult
CUST851,32,Adult
CUST857,60,Senior
CUST863,30,Adult
CUST866,24,Youth
CUST882,64,Senior
CUST889,35,Adult
CUST890,34,Adult
CUST892,20,Youth
CUST893,49,Adult
CUST896,30,Adult
CUST916,32,Adult
CUST922,41,Adult
CUST949,41,Adult
CUST958,62,Senior
CUST985,19,Youth
CUST123,40,Adult
CUST228,59,Adult
CUST247,41,Adult
CUST266,19,Youth
CUST289,53,Adult
CUST304,37,Adult
CUST370,23,Youth
CUST456,57,Adult
CUST501,39,Adult
CUST588,38,Adult
CUST593,35,Adult
CUST681,43,Adult
CUST959,42,Adult
CUST981,30,Adult
CUST992,57,Adult
CUST241,23,Youth
CUST357,40,Adult
CUST552,49,Adult
CUST620,63,Senior
CUST812,19,Youth
CUST921,51,Adult
CUST948,23,Youth
CUST977,35,Adult
CUST980,31,Adult
CUST073,29,Youth
CUST084,38,Adult
CUST219,53,Adult
CUST293,50,Adult
CUST303,19,Youth
CUST317,22,Youth
CUST331,28,Youth
CUST631,56,Adult
CUST643,28,Youth
CUST913,29,Youth
CUST918,42,Adult
CUST008,30,Adult
CUST033,50,Adult
CUST053,34,Adult
CUST076,22,Youth
CUST083,54,Adult
CUST175,31,Adult
CUST216,62,Senior
CUST227,36,Adult
CUST272,61,Senior
CUST329,46,Adult
CUST390,39,Adult
CUST455,31,Adult
CUST458,39,Adult
CUST466,63,Senior
CUST513,24,Youth
CUST520,49,Adult
CUST564,50,Adult
CUST583,24,Youth
CUST591,53,Adult
CUST619,47,Adult
CUST632,26,Youth
CUST689,57,Adult
CUST703,34,Adult
CUST706,51,Adult
CUST754,43,Adult
CUST759,49,Adult
CUST775,46,Adult
CUST799,56,Adult
CUST810,59,Adult
CUST823,56,Adult
CUST831,27,Youth
CUST841,31,Adult
CUST858,23,Youth
CUST873,27,Youth
CUST888,52,Adult
CUST897,64,Senior
CUST092,51,Adult
CUST122,64,Senior
CUST150,58,Adult
CUST173,64,Senior
CUST425,55,Adult
CUST519,36,Adult
CUST530,18,Youth
CUST640,51,Adult
CUST645,35,Adult
CUST769,31,Adult
CUST856,54,Adult
CUST870,46,Adult
CUST957,60,Senior
CUST1000,47,Adult
CUST324,52,Adult
CUST327,57,Adult
CUST426,23,Youth
CUST465,43,Adult
CUST467,53,Adult
CUST502,43,Adult
CUST666,51,Adult
CUST668,62,Senior
CUST671,62,Senior
CUST695,22,Youth
CUST728,51,Adult
CUST777,48,Adult
CUST813,52,Adult
CUST993,48,Adult
CUST999,36,Adult
CUST121,28,Youth
CUST132,42,Adult
CUST184,31,Adult
CUST208,34,Adult
CUST209,30,Adult
CUST210,37,Adult
CUST217,35,Adult
CUST282,64,Senior
CUST300,19,Youth
CUST411,62,Senior
CUST428,40,Adult
CUST449,25,Youth
CUST546,36,Adult
CUST569,52,Adult
CUST604,29,Youth
CUST686,28,Youth
CUST807,50,Adult
CUST820,49,Adult
CUST917,57,Adult
CUST971,27,Youth
CUST068,25,Youth
CUST147,23,Youth
CUST179,31,Adult
CUST252,54,Adult
CUST270,43,Adult
CUST445,53,Adult
CUST514,18,Youth
CUST523,62,Senior
CUST568,51,Adult
CUST596,64,Senior
CUST602,20,Youth
CUST641,40,Adult
CUST687,53,Adult
CUST698,64,Senior
CUST725,61,Senior
CUST795,57,Adult
CUST821,49,Adult
CUST868,25,Youth
CUST881,22,Youth
CUST909,26,Youth
CUST925,25,Youth
CUST939,46,Adult
CUST091,55,Adult
CUST105,22,Youth
CUST254,41,Adult
CUST283,18,Youth
CUST322,51,Adult
CUST353,31,Adult
CUST355,55,Adult
CUST531,31,Adult
CUST612,61,Senior
CUST638,46,Adult
CUST667,29,Youth
CUST784,34,Adult
CUST818,30,Adult
CUST864,51,Adult
CUST867,21,Youth
CUST883,40,Adult
CUST914,59,Adult
CUST009,63,Senior
CUST136,44,Adult
CUST158,44,Adult
CUST348,35,Adult
CUST380,56,Adult
CUST386,54,Adult
CUST464,38,Adult
CUST594,19,Youth
CUST838,47,Adult
CUST048,54,Adult
CUST133,20,Youth
CUST154,51,Adult
CUST243,47,Adult
CUST334,31,Adult
CUST407,46,Adult
CUST409,21,Youth
CUST417,43,Adult
CUST430,43,Adult
CUST488,51,Adult
CUST491,60,Senior
CUST509,37,Adult
CUST540,46,Adult
CUST551,45,Adult
CUST635,63,Senior
CUST678,60,Senior
CUST766,38,Adult
CUST886,37,Adult
CUST891,41,Adult
CUST911,42,Adult
CUST954,50,Adult
CUST026,28,Youth
CUST049,54,Adult
CUST117,19,Youth
CUST153,63,Senior
CUST235,23,Youth
CUST297,40,Adult
CUST299,61,Senior
CUST352,57,Adult
CUST395,50,Adult
CUST404,46,Adult
CUST418,60,Senior
CUST432,60,Senior
CUST605,37,Adult
CUST709,19,Youth
CUST732,61,Senior
CUST779,56,Adult
CUST966,60,Senior
CUST031,44,Adult
CUST046,20,Youth
CUST099,50,Adult
CUST142,35,Adult
CUST181,19,Youth
CUST320,28,Youth
CUST332,58,Adult
CUST333,54,Adult
CUST361,34,Adult
CUST431,63,Senior
CUST437,35,Adult
CUST462,63,Senior
CUST479,52,Adult
CUST481,43,Adult
CUST756,62,Senior
CUST757,43,Adult
CUST828,33,Adult
CUST839,20,Youth
CUST847,18,Youth
CUST862,28,Youth
CUST013,22,Youth
CUST054,38,Adult
CUST111,34,Adult
CUST239,38,Adult
CUST356,50,Adult
CUST369,23,Youth
CUST385,50,Adult
CUST507,37,Adult
CUST533,19,Youth
CUST608,55,Adult
CUST676,63,Senior
CUST710,26,Youth
CUST711,26,Youth
CUST859,56,Adult
CUST015,42,Adult
CUST065,51,Adult
CUST072,20,Youth
CUST089,55,Adult
CUST109,34,Adult
CUST118,30,Adult
CUST152,43,Adult
CUST155,31,Adult
CUST157,62,Senior
CUST412,19,Youth
CUST416,53,Adult
CUST634,60,Senior
CUST700,36,Adult
CUST742,38,Adult
CUST773,25,Youth
CUST875,51,Adult
CUST927,43,Adult
CUST946,62,Senior
CUST970,59,Adult
