Customer ID,Age,Total Amount,Spending_Level
CUST463,54,1500,High
CUST522,46,1500,High
CUST611,51,1500,High
CUST693,41,1500,High
CUST720,56,1500,High
CUST480,42,2000,High
CUST503,45,2000,High
CUST592,46,2000,High
CUST832,47,2000,High
CUST103,59,25,Low
CUST205,43,25,Low
CUST206,61,25,Low
CUST223,64,25,Low
CUST236,54,25,Low
CUST318,61,25,Low
CUST362,50,25,Low
CUST379,47,25,Low
CUST558,41,25,Low
CUST657,40,25,Low
CUST658,59,25,Low
CUST764,40,25,Low
CUST790,62,25,Low
CUST877,58,25,Low
CUST952,57,25,Low
CUST955,58,25,Low
CUST195,52,30,Low
CUST255,48,30,Low
CUST438,42,30,Low
CUST483,55,30,Low
CUST518,40,30,Low
CUST566,64,30,Low
CUST995,41,30,Low
CUST007,46,50,Low
CUST019,62,50,Low
CUST059,62,50,Low
CUST106,46,50,Low
CUST143,45,50,Low
CUST226,61,50,Low
CUST316,48,50,Low
CUST359,50,50,Low
CUST527,57,50,Low
CUST627,57,50,Low
CUST665,57,50,Low
CUST751,42,50,Low
CUST774,40,50,Low
CUST798,61,50,Low
CUST840,62,50,Low
CUST941,57,50,Low
CUST944,44,50,Low
CUST973,60,50,Low
CUST996,62,50,Low
CUST080,64,60,Low
CUST178,40,60,Low
CUST315,47,60,Low
CUST415,53,60,Low
CUST478,58,60,Low
CUST548,51,60,Low
CUST675,45,60,Low
CUST719,42,60,Low
CUST960,59,60,Low
CUST962,44,60,Low
CUST188,40,75,Low
CUST439,50,75,Low
CUST607,54,75,Low
CUST653,54,75,Low
CUST654,42,75,Low
CUST755,58,75,Low
CUST797,40,75,Low
CUST815,51,75,Low
CUST848,63,75,Low
CUST988,63,75,Low
CUST245,47,90,Low
CUST351,56,90,Low
CUST419,44,90,Low
CUST444,61,90,Low
CUST603,40,90,Low
CUST613,52,90,Low
CUST691,51,90,Low
CUST704,62,90,Low
CUST861,41,90,Low
CUST898,42,90,Low
CUST064,49,100,Low
CUST077,47,100,Low
CUST125,48,100,Low
CUST156,43,100,Low
CUST160,43,100,Low
CUST187,64,100,Low
CUST287,54,100,Low
CUST360,42,100,Low
CUST366,57,100,Low
CUST381,44,100,Low
CUST442,60,100,Low
CUST498,50,100,Low
CUST517,47,100,Low
CUST575,60,100,Low
CUST609,47,100,Low
CUST615,61,100,Low
CUST616,41,100,Low
CUST630,42,100,Low
CUST642,54,100,Low
CUST661,44,100,Low
CUST688,56,100,Low
CUST692,64,100,Low
CUST738,41,100,Low
CUST758,64,100,Low
CUST786,48,100,Low
CUST887,59,100,Low
CUST014,64,120,Low
CUST222,51,120,Low
CUST312,41,120,Low
CUST314,52,120,Low
CUST436,57,120,Low
CUST477,43,120,Low
CUST497,41,120,Low
CUST521,47,120,Low
CUST532,64,120,Low
CUST578,54,120,Low
CUST824,63,120,Low
CUST876,43,120,Low
CUST885,52,120,Low
CUST895,55,120,Low
CUST034,51,150,Low
CUST119,60,150,Low
CUST163,64,150,Low
CUST167,43,150,Low
CUST651,51,150,Low
CUST724,61,150,Low
CUST830,64,150,Low
CUST978,53,150,Low
CUST010,52,200,Low
CUST138,49,200,Low
CUST194,55,200,Low
CUST197,42,200,Low
CUST259,45,200,Low
CUST284,43,200,Low
CUST377,46,200,Low
CUST400,53,200,Low
CUST696,50,200,Low
CUST765,43,200,Low
CUST860,63,200,Low
CUST930,54,200,Low
CUST938,49,200,Low
CUST975,56,200,Low
CUST024,49,300,Low
CUST043,48,300,Low
CUST070,43,300,Low
CUST168,53,300,Low
CUST401,62,300,Low
CUST741,48,300,Low
CUST783,56,300,Low
CUST826,46,300,Low
CUST852,41,300,Low
CUST865,42,300,Low
CUST088,56,500,Low
CUST130,57,500,Low
CUST279,50,500,Low
CUST384,55,500,Low
CUST570,49,500,Low
CUST655,55,500,Low
CUST697,53,500,Low
CUST717,57,500,Low
CUST721,52,500,Low
CUST814,59,500,Low
CUST845,54,500,Low
CUST984,56,500,Low
CUST096,44,600,Low
CUST291,60,600,Low
CUST398,48,600,Low
CUST402,41,600,Low
CUST440,64,600,Low
CUST637,43,600,Low
CUST649,58,600,Low
CUST702,60,600,Low
CUST842,47,600,Low
CUST171,52,900,Low
CUST180,41,900,Low
CUST264,47,900,Low
CUST265,55,900,Low
CUST515,49,900,Low
CUST550,40,900,Low
CUST680,53,900,Low
CUST690,52,900,Low
CUST782,59,900,Low
CUST968,48,900,Low
CUST969,40,900,Low
CUST203,56,1000,Low
CUST275,43,1000,Low
CUST346,59,1000,Low
CUST382,53,1000,Low
CUST470,57,1000,Low
CUST534,45,1000,Low
CUST986,49,1000,Low
CUST165,60,1200,High
CUST368,56,1200,High
CUST559,40,1200,High
CUST716,60,1200,High
CUST726,47,1200,High
CUST943,57,1200,High
CUST078,47,1500,High
CUST115,51,1500,High
CUST215,58,1500,High
CUST452,48,1500,High
CUST647,59,1500,High
CUST673,43,1500,High
CUST942,51,1500,High
CUST253,53,2000,High
CUST342,43,2000,High
CUST487,44,2000,High
CUST547,63,2000,High
CUST561,64,2000,High
CUST664,44,2000,High
CUST731,54,2000,High
CUST735,64,2000,High
CUST789,61,2000,High
CUST201,56,25,Low
CUST347,42,25,Low
CUST388,50,25,Low
CUST468,40,25,Low
CUST744,40,25,Low
CUST787,41,25,Low
CUST907,45,25,Low
CUST989,44,25,Low
CUST003,50,30,Low
CUST029,42,30,Low
CUST045,55,30,Low
CUST066,45,30,Low
CUST090,51,30,Low
CUST100,41,30,Low
CUST345,62,30,Low
CUST451,45,30,Low
CUST489,44,30,Low
CUST650,55,30,Low
CUST804,42,30,Low
CUST894,52,30,Low
CUST018,47,50,Low
CUST063,57,50,Low
CUST081,40,50,Low
CUST113,41,50,Low
CUST134,49,50,Low
CUST234,62,50,Low
CUST246,48,50,Low
CUST250,48,50,Low
CUST286,55,50,Low
CUST306,54,50,Low
CUST325,52,50,Low
CUST367,57,50,Low
CUST429,64,50,Low
CUST434,43,50,Low
CUST562,54,50,Low
CUST571,41,50,Low
CUST574,63,50,Low
CUST586,50,50,Low
CUST629,62,50,Low
CUST685,57,50,Low
CUST705,60,50,Low
CUST780,52,50,Low
CUST857,60,50,Low
CUST882,64,50,Low
CUST893,49,50,Low
CUST922,41,50,Low
CUST949,41,50,Low
CUST958,62,50,Low
CUST123,40,60,Low
CUST228,59,60,Low
CUST247,41,60,Low
CUST289,53,60,Low
CUST456,57,60,Low
CUST681,43,60,Low
CUST959,42,60,Low
CUST992,57,60,Low
CUST357,40,75,Low
CUST552,49,75,Low
CUST620,63,75,Low
CUST921,51,75,Low
CUST219,53,90,Low
CUST293,50,90,Low
CUST631,56,90,Low
CUST918,42,90,Low
CUST033,50,100,Low
CUST083,54,100,Low
CUST216,62,100,Low
CUST272,61,100,Low
CUST329,46,100,Low
CUST466,63,100,Low
CUST520,49,100,Low
CUST564,50,100,Low
CUST591,53,100,Low
CUST619,47,100,Low
CUST689,57,100,Low
CUST706,51,100,Low
CUST754,43,100,Low
CUST759,49,100,Low
CUST775,46,100,Low
CUST799,56,100,Low
CUST810,59,100,Low
CUST823,56,100,Low
CUST888,52,100,Low
CUST897,64,100,Low
CUST092,51,120,Low
CUST122,64,120,Low
CUST150,58,120,Low
CUST173,64,120,Low
CUST425,55,120,Low
CUST640,51,120,Low
CUST856,54,120,Low
CUST870,46,120,Low
CUST957,60,120,Low
CUST1000,47,120,Low
CUST324,52,150,Low
CUST327,57,150,Low
CUST465,43,150,Low
CUST467,53,150,Low
CUST502,43,150,Low
CUST666,51,150,Low
CUST668,62,150,Low
CUST671,62,150,Low
CUST728,51,150,Low
CUST777,48,150,Low
CUST813,52,150,Low
CUST993,48,150,Low
CUST132,42,200,Low
CUST282,64,200,Low
CUST411,62,200,Low
CUST428,40,200,Low
CUST569,52,200,Low
CUST807,50,200,Low
CUST820,49,200,Low
CUST917,57,200,Low
CUST252,54,300,Low
CUST270,43,300,Low
CUST445,53,300,Low
CUST523,62,300,Low
CUST568,51,300,Low
CUST596,64,300,Low
CUST641,40,300,Low
CUST687,53,300,Low
CUST698,64,300,Low
CUST725,61,300,Low
CUST795,57,300,Low
CUST821,49,300,Low
CUST939,46,300,Low
CUST091,55,500,Low
CUST254,41,500,Low
CUST322,51,500,Low
CUST355,55,500,Low
CUST612,61,500,Low
CUST638,46,500,Low
CUST864,51,500,Low
CUST883,40,500,Low
CUST914,59,500,Low
CUST009,63,600,Low
CUST136,44,600,Low
CUST158,44,600,Low
CUST380,56,600,Low
CUST386,54,600,Low
CUST838,47,600,Low
CUST048,54,900,Low
CUST154,51,900,Low
CUST243,47,900,Low
CUST407,46,900,Low
CUST417,43,900,Low
CUST430,43,900,Low
CUST488,51,900,Low
CUST491,60,900,Low
CUST540,46,900,Low
CUST551,45,900,Low
CUST635,63,900,Low
CUST678,60,900,Low
CUST891,41,900,Low
CUST911,42,900,Low
CUST954,50,900,Low
CUST049,54,1000,Low
CUST153,63,1000,Low
CUST297,40,1000,Low
CUST299,61,1000,Low
CUST352,57,1000,Low
CUST395,50,1000,Low
CUST404,46,1000,Low
CUST418,60,1000,Low
CUST432,60,1000,Low
CUST732,61,1000,Low
CUST779,56,1000,Low
CUST966,60,1000,Low
CUST031,44,1200,High
CUST099,50,1200,High
CUST332,58,1200,High
CUST333,54,1200,High
CUST431,63,1200,High
CUST462,63,1200,High
CUST479,52,1200,High
CUST481,43,1200,High
CUST756,62,1200,High
CUST757,43,1200,High
CUST356,50,1500,High
CUST385,50,1500,High
CUST608,55,1500,High
CUST676,63,1500,High
CUST859,56,1500,High
CUST015,42,2000,High
CUST065,51,2000,High
CUST089,55,2000,High
CUST152,43,2000,High
CUST157,62,2000,High
CUST416,53,2000,High
CUST634,60,2000,High
CUST875,51,2000,High
CUST927,43,2000,High
CUST946,62,2000,High
CUST970,59,2000,High
